id,isBadLoan,Usage
735000,0,Private
664666,0,Public
798352,0,Private
605053,0,Public
593712,0,Public
618716,0,Private
539928,0,Public
451546,0,Private
1014826,0,Private
872482,0,Private
488161,0,Public
355954,0,Public
1055265,0,Private
517612,0,Private
624521,0,Private
432642,0,Private
810631,0,Public
572390,0,Public
968014,1,Private
632744,0,Public
535562,0,Public
692205,1,Public
853470,0,Public
798510,0,Public
435987,0,Public
596274,0,Private
769839,0,Private
453629,0,Private
857376,1,Public
867399,1,Private
969156,0,Private
394768,0,Private
969191,0,Public
489673,0,Private
349067,1,Private
564673,0,Private
572284,0,Public
449831,1,Private
806777,0,Private
522368,0,Public
230545,0,Public
991166,0,Public
462312,0,Public
1006779,0,Public
507634,0,Private
775453,0,Private
746563,0,Private
1004991,1,Public
598136,1,Private
712286,0,Public
645685,0,Private
435039,0,Public
833772,0,Private
649236,0,Public
977507,0,Public
403400,0,Public
600672,0,Private
351230,1,Public
740919,0,Public
638505,0,Public
719367,0,Public
580898,0,Private
891840,0,Private
725131,0,Private
673722,0,Private
445340,1,Private
892708,0,Public
558643,0,Public
757221,1,Public
871263,0,Public
861496,1,Private
864038,0,Private
493943,0,Private
817676,1,Private
548125,0,Public
775547,0,Private
1034572,0,Private
622947,1,Public
1048931,0,Private
1056320,0,Public
437684,0,Public
986474,0,Private
816600,0,Public
495954,0,Private
996597,0,Public
707936,0,Public
1029240,0,Private
985275,0,Private
622039,0,Public
571925,1,Public
346948,0,Private
433141,0,Public
540300,0,Public
662970,0,Public
423648,0,Public
606847,0,Public
470012,0,Private
418348,0,Public
998087,0,Private
462538,0,Public
669201,0,Public
558863,0,Private
1038094,0,Public
439132,0,Private
608335,0,Private
854777,0,Private
494942,0,Public
143102,0,Public
776249,0,Public
892242,0,Public
480800,0,Public
515743,0,Private
998499,1,Public
486669,0,Public
460566,0,Public
171220,1,Public
836592,0,Private
866421,0,Private
970057,0,Public
882412,0,Private
647184,0,Private
472362,0,Private
768084,0,Public
796707,1,Private
764070,0,Public
984636,0,Public
580598,0,Private
497179,0,Public
451129,0,Private
484298,0,Public
373398,1,Public
634807,0,Public
481485,0,Private
542117,0,Private
874826,0,Public
418698,0,Public
881092,0,Public
